標題,發布時間
【工廠火災】【12日高雄市左營區汽車保養場工廠火災，已撲滅，無傷亡】,111-03-13
【住宅火災】【12日臺南市關廟區住宅火災，已撲滅，無傷亡】,111-03-13
【陸上交通事故】【12日高雄市國道1號遊覽車與多部自小客車發生車禍，6人受傷送醫】,111-03-13
【住宅火災】【12日嘉義市東區住宅火災，已撲滅，無傷亡】,111-03-13
【機車行火災】【13日新北市中和區電動機車行火災，已撲滅，無傷亡】,111-03-13
【一氧化碳中毒】【13日臺北市大安區敦化南路2段住宅3人一氧化碳中毒，意識清楚送醫】,111-03-13
【倉庫火災】【14日桃園市楊梅區梅獅路倉儲火災，已撲滅，無傷亡】,111-03-14
【工廠火災】【14日雲林縣斗六市工廠火災，已撲滅，無傷亡】,111-03-14
【電廠火災】【14日新竹縣關西鎮「新桃電廠」火災，已撲滅，無傷亡】,111-03-14
【山域事故】【16日宜蘭縣大同鄉「南湖大山」雲稜山屋附近1男摔傷、意識模糊，空勤直升機及本署特搜共勤吊掛後送】,111-03-16
【陸上交通事故(公務車輛事故、消防人員受傷)】【16日宜蘭縣政府消防局宜蘭分隊後勤車執行安檢勤務途中與自小客車發生車禍，造成5人輕傷送醫】,111-03-16
【陸上交通事故】【17日臺中市國道1號5輛自小客車發生車禍，6人輕傷送醫】,111-03-17
【倉庫火災】【18日臺北市士林區延平北路8段倉庫火災，已撲滅，2消防人員燒燙傷送醫】,111-03-18
【工廠火災】【18日基隆市安樂區武訓街工廠火災，已撲滅，無傷亡】,111-03-18
【民宅火災】【19日臺北市北投區紗帽路民宅火災，己撲滅，無傷亡】,111-03-19
 【地震】【19日23:23南投縣政府南方29.4公里發生芮氏規模5.1地震，無災情】,111-03-20
【倉庫火災】【22日臺南市麻豆區北勢里倉庫火災，已撲滅，無傷亡】結報,111-03-22
【住宅火災】【22日高雄市鳳山區海洋一路住宅火災，已撲滅，無傷亡】,111-03-22
【住宅火災】【23日中山區中山北路一段住宅火災，已撲滅，無傷亡】,111-03-23
【停車場火災】【24日新北市新莊區停車場辦公室火災，已撲滅，無傷亡】,111-03-24
【工廠火災】【24日桃園市平鎮區工廠火災，已撲滅，無傷亡】,111-03-24
【店鋪火災】【24日高雄市鳳山區店鋪火災，已撲滅，無傷亡】,111-03-24
【住宅火災】【24日苗栗縣泰安鄉錦水村住宅火災，已撲滅，1人無生命徵象送醫】,111-03-24
【工廠火災】【28日03:03嘉義縣民雄鄉豐收村某食品工廠火災，已撲滅，無傷亡】,111-03-28
【工廠火災】【28日02:58桃園市大園區大工路某工廠火災，已控制，無傷亡，持續搶救中】,111-03-28
【工廠火災】【28日桃園市觀音區經建四路某塗料工廠火災，已撲滅，無傷亡】,111-03-28
【工廠火災】【30日彰化縣秀水鄉雅興街某工廠火災，已撲滅，無傷亡】,111-03-31
【住宅火災】【30日新竹市東區民族路住宅火災，已撲滅，無傷亡】,111-03-31
【太陽光電發電站火災】【30日臺中市龍井區龍港路某太陽光電發電站火災，已撲滅，無傷亡】,111-03-31
【倉庫火災】【1日南投縣鹿谷鄉鳳園路倉庫火災，已撲滅，無傷亡】,111-04-01
3日屏東縣春日鄉某石板屋火災，已撲滅，無傷亡,111-04-03
【住宅火災】【3日臺北市萬華區環河南路2段住宅火災，已撲滅，無傷亡】,111-04-04
​【住宅火災】【4日臺北市松山區南京東路5段住宅火災，已撲滅，1焦屍】,111-04-04
【地震】【4月4日09:50高雄市政府北北東方58.5公里(高雄市甲仙區)發生芮氏規模4.8地震，無災情】,111-04-05
【地震】【4月4日13:24臺東縣政府北北東方71.1公里(臺東縣近海)發生芮氏規模4.0地震，無災情】,111-04-05
【公墓火災】【4日18:28臺中市龍井區臨港東路二段155巷第二公墓火災，已撲滅，1人死亡】,111-04-05
【山域事故】【5日高雄市桃源區「荖濃溪」1男遭落石砸傷、意識模糊，空勤直升機及本署特搜共勤吊掛後送】,111-04-05
【貨櫃屋火災】【6日臺北市信義區信義路貨櫃屋火災，已撲滅，無傷亡】,111-04-07
【住宅火災】【8日22:49臺北市內湖區成功路四段某捷運共構大樓住宅火災，已撲滅，無傷亡】,111-04-09
【山域事故】【6日花蓮縣卓溪鄉「阿波蘭山」1女墜落山坡、右腳開放性骨折，9日空勤直升機及本署特搜共勤吊掛後送】,111-04-09
